product_id,warehouse_id,stock_quantity,reorder_level,last_updated
P0048,WH03,3727.0,392,2026-09-09
P0049,WH04,4552.0,777,2026-09-06
P0050,WH04,1268.0,294,2026-08-26
P0051,WH03,1783.0,159,2026-09-02
P0052,WH05,4441.0,162,2026-08-30
P0053,WH03,468.0,151,2026-08-30
P0054,WH05,3905.0,614,2026-09-16
P0055,WH05,1289.0,158,2026-09-11
P0056,WH05,,971,2026-08-27
P0057,WH02,561.0,709,2026-09-10
P0058,WH01,1926.0,513,2026-08-29
P0059,WH01,4666.0,352,2026-09-03
P0060,WH05,4870.0,140,2026-09-12
P0061,WH05,671.0,529,2026-09-02
P0062,WH05,4630.0,635,2026-08-24
P0063,WH03,2136.0,309,2026-09-11
P0064,WH03,1955.0,371,2026-09-16
P0065,WH04,1072.0,787,2026-08-25
P0066,WH03,3745.0,423,2026-08-23
P0067,WH01,76.0,569,2026-09-16
P0068,WH05,4612.0,202,2026-08-21
P0069,WH01,4404.0,318,2026-08-25
P0070,WH05,2172.0,235,2026-09-01
P0071,WH03,563.0,1000,2026-08-29
P0072,WH02,3027.0,391,2026-09-09
P0073,WH02,3589.0,953,2026-09-13
P0074,WH05,2478.0,726,2026-09-13
P0075,WH05,64.0,783,2026-08-31
P0076,WH05,2452.0,779,2026-09-09
P0077,WH01,1100.0,370,2026-08-23
P0078,WH01,876.0,860,2026-08-28
P0079,WH05,1273.0,378,2026-09-08
P0080,WH03,4954.0,315,2026-08-21
P0081,WH03,1667.0,803,2026-09-08
P0082,WH03,4140.0,600,2026-09-02
P0083,WH03,416.0,194,2026-09-12
P0084,WH04,2266.0,145,2026-09-03
P0085,WH01,2732.0,889,2026-09-10
P0086,WH02,2145.0,265,2026-09-16
P0087,WH04,4519.0,822,2026-09-13
P0088,WH04,4594.0,109,2026-08-28
P0089,WH01,616.0,807,2026-08-30
P0090,WH02,,136,2026-09-04
P0091,WH03,4771.0,665,2026-08-31
P0092,WH02,3520.0,230,2026-08-23
P0093,WH01,2525.0,473,2026-09-18
P0094,WH01,,315,2026-09-16
P0095,WH02,842.0,462,2026-08-23
P0096,WH05,3329.0,735,2026-09-05
P0097,WH02,1939.0,985,2026-08-23
P0098,WH02,1450.0,522,2026-08-23
P0099,WH01,1469.0,854,2026-09-18
P0100,WH03,3372.0,921,2026-09-13
P0101,WH02,2185.0,263,2026-09-14
P0102,WH01,3133.0,993,2026-09-15
P0103,WH01,3855.0,327,2026-08-28
P0104,WH02,3770.0,458,2026-08-23
P0105,WH03,1864.0,328,2026-09-14
P0106,WH01,1582.0,508,2026-08-24
P0107,WH03,2282.0,985,2026-08-30
P0108,WH01,2286.0,459,2026-08-24
P0109,WH05,3274.0,795,2026-09-18
P0110,WH05,2712.0,128,2026-08-24
P0111,WH01,2139.0,282,2026-09-01
P0112,WH05,2174.0,139,2026-09-09
P0113,WH01,4887.0,544,2026-08-26
P0114,WH03,2569.0,546,2026-09-17
P0115,WH05,4189.0,218,2026-09-01
P0116,WH04,4723.0,294,2026-09-18
P0117,WH03,363.0,825,2026-09-18
P0118,WH04,13.0,632,2026-08-22
P0119,WH05,1614.0,472,2026-08-24
P0120,WH04,573.0,780,2026-09-10
P0121,WH03,2571.0,779,2026-09-18
P0122,WH01,2460.0,619,2026-09-17
P0123,WH03,3345.0,434,2026-09-15
P0124,WH04,2422.0,667,2026-09-05
P0125,WH02,1571.0,530,2026-09-02
P0126,WH04,1425.0,730,2026-08-30
P0127,WH05,2465.0,515,2026-09-05
P0128,WH05,3.0,411,2026-09-01
P0129,WH03,1721.0,540,2026-09-02
P0130,WH05,4969.0,770,2026-09-09
P0131,WH03,3809.0,552,2026-08-27
P0132,WH04,1750.0,623,2026-09-04
P0133,WH04,1390.0,774,2026-09-12
P0134,WH01,2324.0,627,2026-09-05
P0135,WH05,2745.0,195,2026-08-24
P0136,WH02,2542.0,330,2026-08-21
P0137,WH02,1207.0,125,2026-09-12
P0138,WH01,2005.0,586,2026-09-17
P0139,WH05,596.0,566,2026-08-25
P0140,WH04,4715.0,299,2026-08-24
P0141,WH04,4049.0,509,2026-09-16
P0142,WH02,1208.0,771,2026-08-31
P0143,WH01,873.0,897,2026-09-14
P0144,WH04,1792.0,280,2026-09-02
P0145,WH05,3805.0,151,2026-08-27
P0146,WH05,2041.0,968,2026-09-06
P0147,WH01,3739.0,236,2026-08-24
P0148,WH04,4351.0,672,2026-09-01
P0149,WH05,2599.0,873,2026-09-07
P0150,WH04,4135.0,536,2026-09-03
P0151,WH05,3652.0,262,2026-08-28
P0152,WH04,3686.0,365,2026-09-11
P0153,WH02,2271.0,884,2026-09-16
P0154,WH05,3969.0,741,2026-09-04
P0155,WH02,2249.0,550,2026-09-19
P0156,WH01,2340.0,340,2026-09-15
P0157,WH03,2751.0,427,2026-08-21
P0158,WH05,660.0,241,2026-09-16
P0159,WH02,1894.0,492,2026-09-04
P0160,WH02,1752.0,165,2026-08-26
P0161,WH04,3339.0,438,2026-08-27
P0162,WH05,3816.0,525,2026-09-02
P0163,WH01,1694.0,952,2026-08-26
P0164,WH04,3190.0,888,2026-08-26
P0165,WH05,160.0,977,2026-09-16
P0166,WH05,3116.0,588,2026-08-28
P0167,WH01,2881.0,405,2026-09-03
P0168,WH04,3432.0,651,2026-09-03
P0169,WH05,4941.0,325,2026-09-19
P0170,WH04,1797.0,379,2026-08-31
P0171,WH04,3978.0,129,2026-09-06
P0172,WH04,2753.0,784,2026-08-30
P0173,WH04,1352.0,960,2026-09-02
P0174,WH04,1045.0,737,2026-09-14
P0175,WH05,220.0,503,2026-09-13
P0176,WH05,4623.0,778,2026-09-02
P0177,WH01,687.0,758,2026-08-23
P0178,WH04,1111.0,987,2026-08-25
P0179,WH04,1488.0,151,2026-09-10
P0180,WH03,3105.0,435,2026-09-03
P0181,WH02,3724.0,434,2026-08-23
P0182,WH03,3105.0,384,2026-08-21
P0183,WH04,,954,2026-09-06
P0184,WH01,3852.0,119,2026-08-27
P0185,WH05,426.0,458,2026-09-02
P0186,WH02,562.0,899,2026-08-28
P0187,WH01,254.0,353,2026-09-11
P0188,WH02,166.0,736,2026-09-16
P0189,WH02,1954.0,229,2026-09-10
P0190,WH04,937.0,677,2026-09-17
P0191,WH02,3809.0,816,2026-08-21
P0192,WH03,3021.0,271,2026-08-26
P0193,WH05,4974.0,865,2026-08-24
P0194,WH01,1341.0,418,2026-08-28
P0195,WH01,4740.0,126,2026-09-16
P0196,WH03,,793,2026-08-22
P0197,WH04,3249.0,832,2026-09-07
P0198,WH02,622.0,706,2026-09-18
P0199,WH02,834.0,813,2026-09-16
P0200,WH03,4918.0,924,2026-08-28
P0201,WH01,4636.0,901,2026-09-10
P0202,WH01,2844.0,645,2026-08-27
P0203,WH04,3035.0,170,2026-08-23
P0204,WH05,2795.0,112,2026-09-04
P0205,WH04,4015.0,208,2026-09-07
P0206,WH04,2967.0,750,2026-08-22
P0207,WH04,1253.0,545,2026-09-07
P0208,WH02,4274.0,766,2026-08-31
P0209,WH03,4408.0,893,2026-09-02
P0210,WH04,3808.0,546,2026-08-25
P0211,WH05,2198.0,430,2026-09-07
P0212,WH02,709.0,385,2026-09-17
P0213,WH04,1997.0,868,2026-09-09
P0214,WH04,4668.0,724,2026-08-28
P0215,WH04,2755.0,129,2026-09-01
P0216,WH04,2662.0,286,2026-08-28
P0217,WH04,1737.0,463,2026-08-29
P0218,WH03,2788.0,386,2026-09-10
P0219,WH05,2263.0,669,2026-08-22
P0220,WH01,4232.0,295,2026-08-29
P0221,WH01,1977.0,837,2026-09-06
P0222,WH04,4002.0,668,2026-09-09
P0223,WH02,3900.0,761,2026-09-02
P0224,WH04,3671.0,911,2026-09-02
P0225,WH01,762.0,401,2026-08-28
P0226,WH02,3312.0,808,2026-08-26
P0227,WH02,2508.0,779,2026-09-08
P0228,WH05,3023.0,584,2026-08-22
P0229,WH05,4349.0,452,2026-09-12
P0230,WH04,,438,2026-08-31
P0231,WH03,3717.0,377,2026-08-30
P0232,WH03,2059.0,336,2026-09-12
P0233,WH01,1577.0,423,2026-09-06
P0234,WH01,4389.0,880,2026-09-04
P0235,WH02,1569.0,321,2026-09-01
P0236,WH04,2265.0,841,2026-08-31
P0237,WH05,4297.0,711,2026-08-22
P0238,WH03,823.0,952,2026-08-30
P0239,WH02,2426.0,332,2026-09-09
P0240,WH03,1469.0,409,2026-09-05
P0241,WH01,4375.0,229,2026-09-03
P0242,WH03,372.0,155,2026-08-24
P0243,WH05,2393.0,814,2026-09-03
P0244,WH02,4021.0,205,2026-09-07
P0245,WH01,4702.0,391,2026-09-14
P0246,WH04,3921.0,551,2026-09-09
P0247,WH03,1510.0,152,2026-09-16
P0248,WH03,3913.0,216,2026-09-06
P0249,WH01,3282.0,603,2026-08-22
P0250,WH01,4726.0,744,2026-08-26
P0251,WH01,1242.0,252,2026-09-02
P0252,WH05,2489.0,187,2026-08-29
P0253,WH02,970.0,671,2026-09-18
P0254,WH04,4966.0,710,2026-09-02
P0255,WH05,1848.0,894,2026-08-22
P0256,WH05,3116.0,561,2026-08-26
P0257,WH04,2435.0,980,2026-09-18
P0258,WH05,3512.0,412,2026-09-11
P0259,WH05,493.0,724,2026-09-06
P0260,WH01,1702.0,740,2026-09-05
P0261,WH02,2167.0,776,2026-09-11
P0262,WH01,1286.0,345,2026-09-19
P0263,WH02,4521.0,176,2026-09-14
P0264,WH02,21.0,518,2026-08-26
P0265,WH04,4864.0,581,2026-09-08
P0266,WH03,267.0,337,2026-09-17
P0267,WH03,2316.0,819,2026-08-30
P0268,WH04,583.0,803,2026-09-02
P0269,WH02,2167.0,906,2026-08-23
P0270,WH05,1620.0,535,2026-09-11
P0271,WH01,4461.0,330,2026-08-21
P0272,WH02,2176.0,946,2026-09-15
P0273,WH02,584.0,161,2026-09-16
P0274,WH02,2519.0,709,2026-08-30
P0275,WH05,2364.0,549,2026-09-07
P0276,WH01,3839.0,805,2026-09-10
P0277,WH03,3297.0,378,2026-08-24
P0278,WH05,4423.0,605,2026-09-06
P0279,WH04,658.0,712,2026-09-05
P0280,WH01,3539.0,852,2026-08-27
P0281,WH03,4945.0,356,2026-09-04
P0282,WH01,748.0,334,2026-09-14
P0283,WH05,4809.0,121,2026-09-05
P0284,WH03,,141,2026-09-09
P0285,WH02,3854.0,631,2026-09-05
P0286,WH04,2278.0,285,2026-09-09
P0287,WH05,3570.0,750,2026-09-04
P0288,WH04,747.0,581,2026-09-16
P0289,WH03,3345.0,441,2026-08-27
P0290,WH03,856.0,978,2026-08-30
P0291,WH02,2701.0,521,2026-09-10
P0292,WH04,2361.0,778,2026-09-08
P0293,WH04,4506.0,137,2026-08-29
P0294,WH04,721.0,422,2026-09-19
P0295,WH03,,218,2026-09-17
P0296,WH04,4215.0,944,2026-09-04
P0297,WH01,4444.0,573,2026-09-09
P0298,WH04,444.0,292,2026-09-16
P0299,WH05,2963.0,737,2026-08-21
P0300,WH04,3621.0,878,2026-09-04
P0301,WH01,1667.0,373,2026-09-03
P0302,WH05,1073.0,394,2026-08-31
P0303,WH04,3970.0,224,2026-09-10
P0304,WH01,4987.0,918,2026-09-18
P0305,WH02,1297.0,418,2026-09-19
P0306,WH05,112.0,665,2026-09-05
P0307,WH04,763.0,330,2026-09-12
P0308,WH01,3780.0,220,2026-09-11
P0309,WH02,4082.0,833,2026-09-11
P0310,WH03,4168.0,822,2026-08-31
P0311,WH03,3403.0,954,2026-09-14
P0312,WH04,3868.0,349,2026-09-12
P0313,WH04,4515.0,248,2026-08-29
P0314,WH04,1561.0,713,2026-08-25
P0315,WH05,1118.0,984,2026-09-03
P0316,WH01,2263.0,891,2026-09-15
P0317,WH04,2784.0,906,2026-09-06
P0318,WH05,2188.0,940,2026-08-25
P0319,WH01,2317.0,843,2026-09-01
P0320,WH03,4808.0,693,2026-09-05
P0321,WH04,,557,2026-08-31
P0322,WH05,3967.0,453,2026-08-30
P0323,WH03,4521.0,881,2026-08-28
P0324,WH05,3090.0,566,2026-08-22
P0325,WH03,1545.0,814,2026-08-23
P0326,WH02,4684.0,492,2026-09-01
P0327,WH02,,144,2026-09-13
P0328,WH03,3874.0,822,2026-09-19
P0329,WH04,3162.0,779,2026-08-24
P0330,WH02,4057.0,137,2026-09-12
P0331,WH02,4114.0,704,2026-09-10
P0332,WH03,822.0,995,2026-09-17
P0333,WH04,816.0,638,2026-08-30
P0334,WH04,125.0,839,2026-09-08
P0335,WH02,3358.0,991,2026-09-13
P0336,WH02,612.0,580,2026-09-09
P0337,WH03,2773.0,738,2026-09-01
P0338,WH04,657.0,972,2026-08-28
P0339,WH03,4371.0,489,2026-08-21
P0340,WH03,3997.0,993,2026-08-26
P0341,WH05,294.0,732,2026-09-10
P0342,WH01,1923.0,746,2026-08-31
P0343,WH03,1863.0,864,2026-08-29
P0344,WH01,3555.0,200,2026-09-15
P0345,WH01,3634.0,270,2026-09-12
P0346,WH03,237.0,147,2026-08-23
P0347,WH03,459.0,400,2026-09-17
P0348,WH03,3070.0,541,2026-09-02
P0349,WH02,2000.0,643,2026-08-26
P0350,WH04,4636.0,798,2026-09-12
P0351,WH02,1392.0,279,2026-08-27
P0352,WH01,4992.0,991,2026-09-12
P0353,WH04,1972.0,609,2026-09-15
P0354,WH05,1172.0,337,2026-09-17
P0355,WH04,2080.0,570,2026-09-18
P0356,WH03,76.0,923,2026-09-05
P0357,WH04,2356.0,793,2026-09-11
P0358,WH05,1294.0,175,2026-09-19
P0359,WH04,2830.0,701,2026-09-14
P0360,WH03,3475.0,806,2026-09-10
P0361,WH03,3742.0,965,2026-09-16
P0362,WH03,1631.0,493,2026-09-11
P0363,WH04,873.0,342,2026-08-28
P0364,WH04,4685.0,467,2026-09-13
P0365,WH05,2423.0,816,2026-09-11
P0366,WH03,179.0,949,2026-09-02
P0367,WH04,2248.0,108,2026-09-02
P0368,WH05,401.0,720,2026-09-03
P0369,WH04,2344.0,894,2026-09-15
P0370,WH02,4973.0,921,2026-09-13
P0371,WH03,1794.0,751,2026-09-01
P0372,WH02,2053.0,794,2026-09-03
P0373,WH02,795.0,742,2026-09-11
P0374,WH01,2530.0,907,2026-08-24
P0375,WH04,273.0,693,2026-09-03
P0376,WH03,1076.0,192,2026-09-01
P0377,WH03,2676.0,865,2026-09-03
P0378,WH04,1438.0,305,2026-09-06
P0379,WH02,4418.0,997,2026-09-05
P0380,WH03,4348.0,613,2026-09-16
P0381,WH03,1347.0,363,2026-08-24
P0382,WH04,2417.0,864,2026-08-27
P0383,WH03,943.0,579,2026-08-28
P0384,WH01,1153.0,872,2026-09-01
P0385,WH02,3255.0,966,2026-09-08
P0386,WH05,2996.0,192,2026-08-28
P0387,WH04,114.0,370,2026-08-31
P0388,WH05,1012.0,565,2026-08-24
P0389,WH03,2147.0,698,2026-09-10
P0390,WH04,3043.0,210,2026-09-09
P0391,WH02,3862.0,125,2026-09-06
P0392,WH05,4599.0,435,2026-09-16
P0393,WH05,1813.0,763,2026-09-12
P0394,WH01,3803.0,817,2026-09-10
P0395,WH03,3344.0,219,2026-08-24
P0396,WH02,371.0,138,2026-08-31
P0397,WH03,4035.0,218,2026-09-10
P0398,WH01,1923.0,650,2026-09-08
P0399,WH02,3183.0,564,2026-09-18
P0400,WH03,4425.0,529,2026-08-21
P0401,WH05,1265.0,524,2026-09-17
P0402,WH01,4008.0,730,2026-09-08
P0403,WH04,2291.0,133,2026-09-13
P0404,WH03,1779.0,554,2026-08-21
P0405,WH04,1934.0,975,2026-09-07
P0406,WH03,813.0,802,2026-09-04
P0407,WH03,4460.0,760,2026-09-08
P0408,WH03,496.0,507,2026-09-10
P0409,WH03,1554.0,225,2026-09-16
P0410,WH04,750.0,778,2026-09-16
P0411,WH02,4891.0,121,2026-09-19
P0412,WH01,2732.0,349,2026-08-31
P0413,WH02,4625.0,310,2026-09-13
P0414,WH01,4540.0,312,2026-08-31
P0415,WH05,1769.0,932,2026-09-03
P0416,WH02,2691.0,892,2026-09-11
P0417,WH02,4882.0,102,2026-09-13
P0418,WH03,1185.0,233,2026-08-22
P0419,WH05,2053.0,917,2026-09-08
P0420,WH02,900.0,776,2026-09-06
P0421,WH01,1079.0,115,2026-09-09
P0422,WH03,1949.0,702,2026-08-29
P0423,WH03,129.0,278,2026-09-12
P0424,WH03,429.0,229,2026-08-27
P0425,WH04,4309.0,216,2026-09-15
P0426,WH01,3901.0,559,2026-08-22
P0427,WH03,4204.0,707,2026-09-09
P0428,WH01,3702.0,615,2026-09-18
P0429,WH02,355.0,844,2026-09-17
P0430,WH05,2470.0,569,2026-08-22
P0431,WH01,498.0,590,2026-08-25
P0432,WH04,3492.0,802,2026-09-10
P0433,WH01,4016.0,829,2026-08-27
P0434,WH04,602.0,182,2026-09-12
P0435,WH03,4983.0,251,2026-08-29
P0436,WH01,1033.0,381,2026-08-23
P0437,WH05,4795.0,661,2026-09-02
P0438,WH03,3120.0,711,2026-09-08
P0439,WH05,2415.0,564,2026-09-05
P0440,WH05,4959.0,540,2026-08-31
P0441,WH01,937.0,973,2026-09-12
P0442,WH05,1761.0,540,2026-09-05
P0443,WH04,1871.0,523,2026-09-06
P0444,WH03,3715.0,508,2026-09-08
P0445,WH04,778.0,420,2026-09-03
P0446,WH04,2560.0,781,2026-09-10
P0447,WH03,3066.0,256,2026-09-02
P0448,WH04,549.0,193,2026-08-24
P0449,WH01,763.0,542,2026-09-12
P0450,WH01,3052.0,931,2026-08-21
P0451,WH02,4557.0,161,2026-09-16
P0452,WH05,4600.0,675,2026-08-23
P0453,WH03,1001.0,520,2026-09-06
P0454,WH03,3464.0,988,2026-08-31
P0455,WH01,2356.0,714,2026-08-24
P0456,WH03,2880.0,206,2026-08-22
P0457,WH05,4156.0,317,2026-08-22
P0458,WH02,3950.0,329,2026-09-02
P0459,WH01,2868.0,965,2026-08-30
P0460,WH05,3011.0,217,2026-08-21
P0461,WH03,4703.0,331,2026-08-28
P0462,WH04,4595.0,885,2026-09-01
P0463,WH05,4560.0,126,2026-08-27
P0464,WH05,2190.0,129,2026-09-12
P0465,WH02,2238.0,819,2026-08-26
P0466,WH03,2783.0,459,2026-09-17
P0467,WH01,1486.0,990,2026-08-31
P0468,WH02,4639.0,773,2026-09-12
P0469,WH04,570.0,245,2026-09-02
P0470,WH01,751.0,864,2026-09-07
P0471,WH05,1762.0,485,2026-08-29
P0472,WH04,3716.0,449,2026-09-19
P0473,WH02,3031.0,419,2026-09-19
P0474,WH03,4649.0,710,2026-08-26
P0475,WH01,430.0,259,2026-08-28
P0476,WH02,407.0,790,2026-09-05
P0477,WH01,2229.0,553,2026-08-26
P0478,WH04,3978.0,721,2026-09-18
P0479,WH04,3392.0,379,2026-08-22
P0480,WH02,4197.0,216,2026-09-05
P0481,WH03,3521.0,213,2026-09-17
P0482,WH03,4858.0,598,2026-09-08
P0483,WH05,2526.0,146,2026-09-09
P0484,WH02,3237.0,713,2026-08-30
P0485,WH01,62.0,309,2026-08-24
P0486,WH03,1730.0,885,2026-09-18
P0487,WH02,2093.0,396,2026-09-01
P0488,WH03,982.0,107,2026-08-25
P0489,WH04,3527.0,279,2026-09-04
P0490,WH02,3114.0,645,2026-09-19
P0491,WH02,4098.0,672,2026-08-26
P0492,WH03,590.0,506,2026-09-17
P0493,WH01,3573.0,119,2026-08-22
P0494,WH04,637.0,982,2026-09-06
P0495,WH03,4716.0,539,2026-09-15
P0496,WH05,3313.0,826,2026-09-10
P0497,WH04,2371.0,217,2026-09-07
P0498,WH04,170.0,432,2026-08-24
P0499,WH02,3769.0,951,2026-09-14
P0500,WH03,721.0,547,2026-09-06
